Date,Price,Open,High,Low,Vol.,Change %
2015/1/15,317.41,300.75,326.94,300.75,886.00M,5.59%
2014/12/14,300.6,299.72,307.43,291.37,1.02B,0.20%
2014/11/14,300,292.47,302.59,291.05,828.50M,2.41%
2014/10/14,292.92,270.22,293.19,268.26,1.18B,8.33%
2014/9/14,270.39,288.91,291.67,268.25,872.20M,-6.35%
2014/8/14,288.72,279.5,290.7,277.87,622.60M,3.19%
2014/7/14,279.79,280.72,286.51,278.15,702.80M,-0.27%
2014/6/14,280.54,279.15,284.16,274.52,898.30M,0.54%
2014/5/14,279.02,272.07,279.37,270.55,822.50M,2.54%
2014/4/14,272.1,264.7,272.1,262.93,801.00M,2.82%
2014/3/14,264.62,264.99,269.02,258.36,871.60M,-0.39%
2014/2/14,265.66,254.26,266.59,249.42,813.60M,4.45%
2014/1/14,254.34,245.51,255.44,243.91,828.00M,3.51%
2013/12/13,245.72,244.89,248.93,240.12,909.40M,0.32%
2013/11/13,244.93,257.89,259.76,244.7,786.60M,-4.94%
2013/10/13,257.67,248.58,265.9,245.47,1.01B,3.64%
2013/9/13,248.62,243.01,261.58,237.93,834.70M,2.72%
2013/8/13,242.04,259.79,260.73,236.85,816.00M,-6.58%
2013/7/13,259.09,259.16,270.97,251.85,786.80M,0.21%
2013/6/13,258.56,266.05,268.44,242.9,1.11B,-2.84%
2013/5/13,266.11,284.9,295.39,266.06,883.80M,-6.69%
2013/4/13,285.18,269.87,285.18,268.71,742.70M,5.58%
2013/3/13,270.11,263.21,270.2,261.8,788.50M,2.44%
2013/2/13,263.68,261.23,266.75,259.46,712.70M,0.99%
2013/1/13,261.09,252.4,265.18,252.4,508.80M,3.81%
2012/12/12,251.5,246.26,252.93,244.34,619.70M,2.39%
2012/11/12,245.62,247.77,251,234.95,738.70M,-0.87%
2012/10/12,247.77,249.63,253.86,243.49,705.50M,-0.63%
2012/9/12,249.34,253.3,263.53,248.04,675.60M,-1.56%
2012/8/12,253.3,254.01,256.14,248.45,616.50M,-0.09%
2012/7/12,253.53,248.78,256.57,246.79,707.80M,2.07%
2012/6/12,248.4,236.63,248.41,227.76,816.60M,4.96%
2012/5/12,236.66,247.72,251.4,230.72,737.80M,-4.46%
2012/4/12,247.7,241.58,248.52,231.33,638.80M,2.45%
2012/3/12,241.78,232.84,242.48,231.13,774.20M,3.92%
2012/2/12,232.67,235.78,240.38,231.54,658.20M,-0.94%
2012/1/12,234.87,220.81,236.52,217.51,701.40M,6.57%
2011/12/11,220.4,213.27,224.09,207.19,735.00M,3.34%
2011/11/11,213.27,221.84,222.86,198.44,863.10M,-4.05%
2011/10/11,222.27,195.14,225.59,181.3,1.07B,13.36%
2011/9/11,196.07,221.13,221.66,195.38,1.11B,-11.34%
