Period,Inventory
2021-10-31,1250000.0000
2021-09-30,1260000.0000
2021-08-31,1280000.0000
2021-07-31,1310000.0000
2021-06-30,1230000.0000
2021-05-31,1210000.0000
2021-04-30,1150000.0000
2021-03-31,1050000.0000
2021-02-28,1030000.0000
2021-01-31,1030000.0000
2020-12-31,1060000.0000
2020-11-30,1280000.0000
2020-10-31,1420000.0000
2020-09-30,1460000.0000
2020-08-31,1490000.0000
2020-07-31,1500000.0000
2020-06-30,1540000.0000
2020-05-31,1550000.0000
2020-04-30,1460000.0000
2020-03-31,1490000.0000
2020-02-29,1460000.0000
2020-01-31,1400000.0000
2019-12-31,1390000.0000
2019-11-30,1640000.0000
2019-10-31,1770000.0000
2019-09-30,1820000.0000
2019-08-31,1830000.0000
2019-07-31,1900000.0000
2019-06-30,1920000.0000
2019-05-31,1910000.0000
2019-04-30,1830000.0000
2019-03-31,1670000.0000
2019-02-28,1630000.0000
2019-01-31,1590000.0000
2018-12-31,1530000.0000
2018-11-30,1740000.0000
2018-10-31,1850000.0000
2018-09-30,1880000.0000
2018-08-31,1910000.0000
2018-07-31,1920000.0000
2018-06-30,1930000.0000
2018-05-31,1870000.0000
2018-04-30,1800000.0000
2018-03-31,1640000.0000
2018-02-28,1580000.0000
2018-01-31,1520000.0000
2017-12-31,1460000.0000
2017-11-30,1670000.0000
2017-10-31,1800000.0000
2017-09-30,1860000.0000
2017-08-31,1870000.0000
2017-07-31,1920000.0000
2017-06-30,1940000.0000
2017-05-31,1970000.0000
2017-04-30,1920000.0000
2017-03-31,1800000.0000
2017-02-28,1730000.0000
2017-01-31,1680000.0000
2016-12-31,1650000.0000
2016-11-30,1850000.0000
2016-10-31,2010000.0000
2016-09-30,2030000.0000
2016-08-31,2010000.0000
2016-07-31,2110000.0000
2016-06-30,2110000.0000
2016-05-31,2140000.0000
2016-04-30,2120000.0000
2016-03-31,1960000.0000
2016-02-29,1870000.0000
2016-01-31,1820000.0000
2015-12-31,1760000.0000
2015-11-30,2040000.0000
2015-10-31,2110000.0000
2015-09-30,2190000.0000
2015-08-31,2270000.0000
2015-07-31,2260000.0000
2015-06-30,2250000.0000
2015-05-31,2280000.0000
2015-04-30,2220000.0000
2015-03-31,2010000.0000
2015-02-28,1900000.0000
2015-01-31,1860000.0000
2014-12-31,1860000.0000
2014-11-30,2080000.0000
2014-10-31,2240000.0000
2014-09-30,2280000.0000
2014-08-31,2330000.0000
2014-07-31,2350000.0000
2014-06-30,2290000.0000
2014-05-31,2250000.0000
2014-04-30,2230000.0000
2014-03-31,1960000.0000
2014-02-28,1900000.0000
2014-01-31,1880000.0000
2013-12-31,1860000.0000
2013-11-30,2050000.0000
2013-10-31,2110000.0000
2013-09-30,2170000.0000
2013-08-31,2210000.0000
2013-07-31,2240000.0000
2013-06-30,2160000.0000
2013-05-31,2150000.0000
2013-04-30,2150000.0000
2013-03-31,1930000.0000
2013-02-28,1900000.0000
2013-01-31,1770000.0000
2012-12-31,1830000.0000
2012-11-30,1990000.0000
2012-10-31,2110000.0000
