Period,US Housing Starts (Thousands)
2021-10-31,1520.0000
2021-09-30,1530.0000
2021-08-31,1573.0000
2021-07-31,1562.0000
2021-06-30,1657.0000
2021-05-31,1594.0000
2021-04-30,1514.0000
2021-03-31,1725.0000
2021-02-28,1447.0000
2021-01-31,1625.0000
2020-12-31,1661.0000
2020-11-30,1551.0000
2020-10-31,1514.0000
2020-09-30,1448.0000
2020-08-31,1376.0000
2020-07-31,1497.0000
2020-06-30,1273.0000
2020-05-31,1046.0000
2020-04-30,938.0000
2020-03-31,1277.0000
2020-02-29,1589.0000
2020-01-31,1589.0000
2019-12-31,1547.0000
2019-11-30,1350.0000
2019-10-31,1318.0000
2019-09-30,1285.0000
2019-08-31,1371.0000
2019-07-31,1224.0000
2019-06-30,1237.0000
2019-05-31,1303.0000
2019-04-30,1282.0000
2019-03-31,1203.0000
2019-02-28,1142.0000
2019-01-31,1244.0000
2018-12-31,1095.0000
2018-11-30,1183.0000
2018-10-31,1208.0000
2018-09-30,1238.0000
2018-08-31,1288.0000
2018-07-31,1193.0000
2018-06-30,1199.0000
2018-05-31,1354.0000
2018-04-30,1285.0000
2018-03-31,1327.0000
2018-02-28,1289.0000
2018-01-31,1309.0000
2017-12-31,1182.0000
2017-11-30,1278.0000
2017-10-31,1248.0000
2017-09-30,1175.0000
2017-08-31,1159.0000
2017-07-31,1202.0000
2017-06-30,1247.0000
2017-05-31,1160.0000
2017-04-30,1145.0000
2017-03-31,1190.0000
2017-02-28,1281.0000
2017-01-31,1193.0000
2016-12-31,1252.0000
2016-11-30,1140.0000
2016-10-31,1313.0000
2016-09-30,1068.0000
2016-08-31,1171.0000
2016-07-31,1239.0000
2016-06-30,1203.0000
2016-05-31,1148.0000
2016-04-30,1163.0000
2016-03-31,1111.0000
2016-02-29,1225.0000
2016-01-31,1092.0000
2015-12-31,1146.0000
2015-11-30,1172.0000
2015-10-31,1058.0000
2015-09-30,1224.0000
2015-08-31,1130.0000
2015-07-31,1146.0000
2015-06-30,1205.0000
2015-05-31,1079.0000
2015-04-30,1190.0000
2015-03-31,960.0000
2015-02-28,886.0000
2015-01-31,1085.0000
2014-12-31,1073.0000
2014-11-30,1001.0000
2014-10-31,1074.0000
2014-09-30,1023.0000
2014-08-31,984.0000
2014-07-31,1085.0000
2014-06-30,911.0000
2014-05-31,1007.0000
2014-04-30,1043.0000
2014-03-31,970.0000
2014-02-28,944.0000
2014-01-31,888.0000
2013-12-31,1002.0000
2013-11-30,1100.0000
2013-10-31,925.0000
2013-09-30,850.0000
2013-08-31,917.0000
2013-07-31,880.0000
2013-06-30,839.0000
2013-05-31,930.0000
2013-04-30,835.0000
2013-03-31,1010.0000
2013-02-28,962.0000
2013-01-31,888.0000
2012-12-31,976.0000
2012-11-30,833.0000
2012-10-31,915.0000
2012-09-30,847.0000
2012-08-31,754.0000
2012-07-31,740.0000
2012-06-30,757.0000
2012-05-31,708.0000
2012-04-30,753.0000
2012-03-31,695.0000
2012-02-29,704.0000
