Period,US Existing Home Sales
2021-10-31,6340000.0000
2021-09-30,6290000.0000
2021-08-31,5880000.0000
2021-07-31,6000000.0000
2021-06-30,5870000.0000
2021-05-31,5780000.0000
2021-04-30,5850000.0000
2021-03-31,6010000.0000
2021-02-28,6240000.0000
2021-01-31,6660000.0000
2020-12-31,6650000.0000
2020-11-30,6590000.0000
2020-10-31,6730000.0000
2020-09-30,6440000.0000
2020-08-31,5970000.0000
2020-07-31,5900000.0000
2020-06-30,4770000.0000
2020-05-31,4010000.0000
2020-04-30,4370000.0000
2020-03-31,5350000.0000
2020-02-29,5700000.0000
2020-01-31,5410000.0000
2019-12-31,5530000.0000
2019-11-30,5320000.0000
2019-10-31,5410000.0000
2019-09-30,5410000.0000
2019-08-31,5430000.0000
2019-07-31,5390000.0000
2019-06-30,5320000.0000
2019-05-31,5330000.0000
2019-04-30,5230000.0000
2019-03-31,5230000.0000
2019-02-28,5380000.0000
2019-01-31,4980000.0000
2018-12-31,5000000.0000
2018-11-30,5210000.0000
2018-10-31,5220000.0000
2018-09-30,5180000.0000
2018-08-31,5350000.0000
2018-07-31,5390000.0000
2018-06-30,5390000.0000
2018-05-31,5400000.0000
2018-04-30,5430000.0000
2018-03-31,5510000.0000
2018-02-28,5610000.0000
2018-01-31,5400000.0000
2017-12-31,5560000.0000
2017-11-30,5720000.0000
2017-10-31,5500000.0000
2017-09-30,5370000.0000
2017-08-31,5420000.0000
2017-07-31,5420000.0000
2017-06-30,5500000.0000
2017-05-31,5600000.0000
2017-04-30,5540000.0000
2017-03-31,5670000.0000
2017-02-28,5470000.0000
2017-01-31,5690000.0000
2016-12-31,5510000.0000
2016-11-30,5600000.0000
2016-10-31,5530000.0000
2016-09-30,5470000.0000
2016-08-31,5340000.0000
2016-07-31,5330000.0000
2016-06-30,5480000.0000
2016-05-31,5470000.0000
2016-04-30,5480000.0000
2016-03-31,5390000.0000
2016-02-29,5200000.0000
2016-01-31,5480000.0000
2015-12-31,5450000.0000
2015-11-30,4860000.0000
2015-10-31,5290000.0000
2015-09-30,5440000.0000
2015-08-31,5290000.0000
2015-07-31,5480000.0000
2015-06-30,5410000.0000
2015-05-31,5290000.0000
2015-04-30,5140000.0000
2015-03-31,5250000.0000
2015-02-28,4970000.0000
2015-01-31,4930000.0000
2014-12-31,5070000.0000
2014-11-30,4950000.0000
2014-10-31,5160000.0000
2014-09-30,5100000.0000
2014-08-31,5000000.0000
2014-07-31,5070000.0000
2014-06-30,5010000.0000
2014-05-31,4900000.0000
2014-04-30,4750000.0000
2014-03-31,4700000.0000
2014-02-28,4660000.0000
2014-01-31,4670000.0000
2013-12-31,4860000.0000
2013-11-30,4860000.0000
2013-10-31,5060000.0000
2013-09-30,5190000.0000
2013-08-31,5270000.0000
2013-07-31,5310000.0000
2013-06-30,5140000.0000
2013-05-31,5150000.0000
2013-04-30,5060000.0000
2013-03-31,5050000.0000
2013-02-28,5020000.0000
2013-01-31,4920000.0000
2012-12-31,4890000.0000
2012-11-30,4960000.0000
2012-10-31,4790000.0000
2012-09-30,4710000.0000
2012-08-31,4760000.0000
2012-07-31,4530000.0000
2012-06-30,4470000.0000
2012-05-31,4600000.0000
2012-04-30,4590000.0000
2012-03-31,4520000.0000
2012-02-29,4580000.0000
2012-01-31,4480000.0000
2011-12-31,4350000.0000
2011-11-30,4390000.0000
2011-10-31,4340000.0000
2011-09-30,4330000.0000
2011-08-31,4380000.0000
2011-07-31,4150000.0000
2011-06-30,4230000.0000
2011-05-31,4140000.0000
2011-04-30,4170000.0000
2011-03-31,4260000.0000
2011-02-28,4160000.0000
2011-01-31,4420000.0000
2010-12-31,4270000.0000
2010-11-30,4020000.0000
2010-10-31,3830000.0000
2010-09-30,3840000.0000
2010-08-31,3680000.0000
2010-07-31,3450000.0000
2010-06-30,4450000.0000
2010-05-31,4880000.0000
2010-04-30,4820000.0000
2010-03-31,4490000.0000
2010-02-28,4270000.0000
2010-01-31,4190000.0000
2009-12-31,4400000.0000
2009-11-30,5440000.0000
2009-10-31,5020000.0000
2009-09-30,4620000.0000
2009-08-31,4450000.0000
2009-07-31,4370000.0000
2009-06-30,4100000.0000
2009-05-31,4000000.0000
2009-04-30,3900000.0000
2009-03-31,3860000.0000
2009-02-28,3970000.0000
2009-01-31,3820000.0000
2008-12-31,4010000.0000
2008-11-30,3770000.0000
2008-10-31,4090000.0000
2008-09-30,4270000.0000
2008-08-31,4190000.0000
2008-07-31,4150000.0000
2008-06-30,4090000.0000
2008-05-31,4140000.0000
2008-04-30,4110000.0000
2008-03-31,4160000.0000
2008-02-29,4120000.0000
2008-01-31,4170000.0000
2007-12-31,4410000.0000
2007-11-30,4460000.0000
2007-10-31,4430000.0000
2007-09-30,4580000.0000
2007-08-31,4870000.0000
2007-07-31,5070000.0000
2007-06-30,5120000.0000
2007-05-31,5270000.0000
2007-04-30,5290000.0000
2007-03-31,5460000.0000
2007-02-28,5790000.0000
2007-01-31,5740000.0000
2006-12-31,6420000.0000
2006-11-30,6340000.0000
2006-10-31,6350000.0000
2006-09-30,6290000.0000
